post_id,majority_asian,majority_black,majority_hispanic,majority_man,majority_white,majority_woman,majority_overall,average_asian,average_black,average_hispanic,average_man,average_white,average_woman,average_overall,gpt_cot,gemini_cot,solar_cot
mhsc_20098,,,3.0,3.0,3.0,-1.0,3,,,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0
mhsc_39246,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,,3.0
mhsc_16679,,,,1.0,1.0,-1.0,1,,,,1.0,2.0,2.0,2,3.0,1.0,3.0
mhsc_8783,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,3.0,3.0,3.0
mhsc_6916,,,3.0,,2.0,-1.0,-1,,,3.0,,2.0,2.0,2,1.0,1.0,3.0
mhsc_32696,,,,1.0,1.0,,1,,,,1.0,1.0,,1,3.0,3.0,2.0
mhsc_9130,,,,,1.0,1.0,1,,,,,1.0,1.0,1,2.0,1.0,2.0
mhsc_9106,,,1.0,-1.0,-1.0,1.0,1,,,1.0,2.0,2.0,1.0,1,1.0,1.0,2.0
mhsc_21598,1.0,,,1.0,,-1.0,1,2.0,,,1.0,,2.0,2,3.0,3.0,3.0
mhsc_24709,1.0,,,1.0,1.0,1.0,1,1.0,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_3012,,1.0,,1.0,1.0,-1.0,1,,1.0,,1.0,2.0,2.0,2,3.0,,3.0
mhsc_19922,,1.0,,,1.0,1.0,1,,1.0,,,1.0,1.0,1,3.0,1.0,2.0
mhsc_10074,1.0,1.0,,1.0,1.0,1.0,1,1.0,1.0,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_3313,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,3.0,3.0
mhsc_11351,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_24623,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,3.0,3.0
mhsc_11634,1.0,,,-1.0,1.0,1.0,1,1.0,,,2.0,2.0,1.0,2,1.0,1.0,2.0
mhsc_37101,,,,,1.0,1.0,1,,,,,1.0,1.0,1,3.0,3.0,3.0
mhsc_17666,-1.0,,,-1.0,-1.0,-1.0,-1,2.0,,,2.0,2.0,2.0,2,3.0,3.0,3.0
mhsc_34991,,,,3.0,3.0,,3,,,,3.0,3.0,,3,1.0,1.0,2.0
mhsc_317,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_35061,,1.0,,1.0,1.0,,1,,1.0,,1.0,1.0,,1,3.0,1.0,2.0
mhsc_30166,,,,3.0,3.0,3.0,3,,,,3.0,3.0,3.0,3,3.0,,3.0
mhsc_38410,,,,,3.0,3.0,3,,,,,3.0,3.0,3,3.0,3.0,3.0
mhsc_20370,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,2.0
mhsc_9511,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_21999,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,1.0
mhsc_15437,3.0,,,3.0,3.0,3.0,3,3.0,,,3.0,2.0,2.0,2,3.0,,3.0
mhsc_21102,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,3.0,1.0,3.0
mhsc_27927,3.0,,,3.0,3.0,3.0,3,3.0,,,3.0,3.0,3.0,3,3.0,,3.0
mhsc_17191,,3.0,,,1.0,-1.0,-1,,3.0,,,2.0,2.0,2,3.0,3.0,3.0
mhsc_21050,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,3.0,3.0
mhsc_24561,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,3.0,3.0
mhsc_23851,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,3.0,1.0
mhsc_28453,,,,1.0,1.0,,1,,,,1.0,1.0,,1,3.0,3.0,3.0
mhsc_19235,,1.0,,1.0,-1.0,-1.0,1,,1.0,,1.0,2.0,2.0,1,2.0,1.0,2.0
mhsc_37758,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,3.0,3.0
mhsc_4470,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,2.0
mhsc_1841,,,3.0,3.0,-1.0,-1.0,3,,,3.0,3.0,2.0,2.0,3,3.0,3.0,3.0
mhsc_32824,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,2.0
mhsc_35001,,,2.0,,3.0,-1.0,-1,,,2.0,,3.0,2.0,2,3.0,3.0,3.0
mhsc_3261,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_30258,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_10612,,,,,3.0,3.0,3,,,,,3.0,3.0,3,3.0,3.0,3.0
mhsc_3856,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,3.0,3.0,3.0
mhsc_3769,,1.0,,3.0,3.0,-1.0,3,,1.0,,3.0,3.0,2.0,2,3.0,3.0,3.0
mhsc_26866,,3.0,,,,3.0,3,,3.0,,,,3.0,3,3.0,3.0,3.0
mhsc_28501,1.0,,,1.0,,,1,1.0,,,1.0,,,1,3.0,1.0,3.0
mhsc_5591,,,,,3.0,3.0,3,,,,,3.0,3.0,3,3.0,3.0,3.0
mhsc_24271,,,3.0,3.0,3.0,3.0,3,,,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0
mhsc_25534,,3.0,3.0,3.0,,,3,,3.0,3.0,3.0,,,3,3.0,3.0,1.0
mhsc_26721,1.0,,,1.0,,,1,1.0,,,1.0,,,1,1.0,1.0,2.0
mhsc_28343,,,,,1.0,1.0,1,,,,,1.0,1.0,1,3.0,3.0,3.0
mhsc_3663,1.0,,,,1.0,1.0,1,1.0,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_10643,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,3.0,3.0
mhsc_38434,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_23683,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_31213,,,,3.0,3.0,3.0,3,,,,3.0,3.0,3.0,3,3.0,,3.0
mhsc_30866,,,,,1.0,1.0,1,,,,,1.0,1.0,1,3.0,3.0,3.0
mhsc_15895,,,3.0,,,3.0,3,,,3.0,,,3.0,3,1.0,3.0,3.0
mhsc_27147,,3.0,,,1.0,-1.0,-1,,3.0,,,1.0,2.0,2,3.0,3.0,3.0
mhsc_204,,,,3.0,3.0,3.0,3,,,,3.0,3.0,3.0,3,3.0,3.0,3.0
mhsc_9131,,,,3.0,3.0,3.0,3,,,,3.0,3.0,3.0,3,2.0,3.0,3.0
mhsc_5599,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,3.0,3.0
mhsc_18809,,,,,3.0,3.0,3,,,,,3.0,3.0,3,3.0,3.0,3.0
mhsc_13176,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_19723,,,,1.0,-1.0,2.0,-1,,,,1.0,2.0,2.0,2,2.0,1.0,2.0
mhsc_5410,,,1.0,1.0,3.0,3.0,3,,,1.0,1.0,3.0,3.0,2,3.0,3.0,3.0
mhsc_37333,,1.0,,,,1.0,1,,1.0,,,,1.0,1,1.0,1.0,2.0
mhsc_34753,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,3.0,3.0
mhsc_21511,,,,-1.0,-1.0,,-1,,,,2.0,2.0,,2,3.0,,3.0
mhsc_730,,,,1.0,1.0,,1,,,,2.0,2.0,,2,2.0,1.0,2.0
mhsc_32155,,,,,1.0,1.0,1,,,,,1.0,1.0,1,3.0,3.0,3.0
mhsc_15699,,,1.0,-1.0,-1.0,1.0,1,,,1.0,2.0,2.0,1.0,2,3.0,3.0,3.0
mhsc_36216,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,2.0
mhsc_14227,,1.0,,,1.0,1.0,1,,1.0,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_17684,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_9037,,1.0,-1.0,1.0,3.0,3.0,1,,1.0,2.0,1.0,3.0,3.0,2,3.0,3.0,3.0
mhsc_8680,1.0,,,1.0,1.0,1.0,1,1.0,,,1.0,1.0,1.0,1,3.0,3.0,3.0
mhsc_29650,,,,1.0,-1.0,2.0,-1,,,,1.0,2.0,2.0,2,3.0,3.0,3.0
mhsc_20967,,,1.0,1.0,1.0,1.0,1,,,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_5557,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_14914,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_3793,,,,-1.0,1.0,1.0,1,,,,2.0,2.0,1.0,2,3.0,3.0,3.0
mhsc_15688,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,2.0
mhsc_22219,1.0,,,,1.0,1.0,1,1.0,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_3032,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_1158,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,2.0
mhsc_28490,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_5392,,,,,-1.0,-1.0,-1,,,,,2.0,2.0,2,3.0,3.0,3.0
mhsc_38394,,1.0,,1.0,,,1,,1.0,,1.0,,,1,3.0,,3.0
mhsc_32746,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,2.0
mhsc_32019,,,,1.0,1.0,,1,,,,1.0,1.0,,1,3.0,3.0,3.0
mhsc_33111,3.0,,,,,3.0,3,3.0,,,,,3.0,3,1.0,1.0,1.0
mhsc_16492,1.0,,,1.0,1.0,1.0,1,1.0,,,1.0,2.0,2.0,2,3.0,3.0,3.0
mhsc_18605,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_2463,,,,,-1.0,-1.0,-1,,,,,2.0,2.0,2,2.0,3.0,3.0
mhsc_483,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_27045,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_21130,,,1.0,,1.0,1.0,1,,,1.0,,1.0,1.0,1,1.0,1.0,1.0
mhsc_36174,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,3.0,3.0
mhsc_28008,,,,,1.0,1.0,1,,,,,1.0,1.0,1,2.0,3.0,3.0
mhsc_25044,,,,,3.0,3.0,3,,,,,3.0,3.0,3,1.0,1.0,1.0
mhsc_16151,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_5910,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_22415,,,,3.0,3.0,,3,,,,3.0,3.0,,3,2.0,1.0,3.0
mhsc_32866,,3.0,,3.0,1.0,1.0,-1,,3.0,,3.0,1.0,1.0,2,3.0,,3.0
mhsc_4244,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,3.0,3.0,3.0
mhsc_26781,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_16631,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,1.0
mhsc_21846,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_5322,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,1.0,3.0
mhsc_35728,,,,,1.0,1.0,1,,,,,1.0,1.0,1,3.0,3.0,3.0
mhsc_37589,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,3.0
mhsc_2909,,,,3.0,3.0,-1.0,3,,,,3.0,3.0,2.0,3,3.0,,3.0
mhsc_17162,1.0,,,,1.0,1.0,1,1.0,,,,1.0,1.0,1,3.0,3.0,3.0
mhsc_9734,,,,,3.0,3.0,3,,,,,3.0,3.0,3,3.0,,1.0
mhsc_37807,,1.0,,,,1.0,1,,1.0,,,,1.0,1,1.0,1.0,1.0
mhsc_444,1.0,3.0,,1.0,3.0,3.0,3,1.0,3.0,,1.0,3.0,3.0,2,3.0,3.0,3.0
mhsc_22123,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_23176,,,2.0,3.0,-1.0,2.0,2,,,2.0,3.0,2.0,2.0,2,3.0,3.0,3.0
mhsc_16013,,,,1.0,1.0,-1.0,1,,,,1.0,1.0,2.0,1,1.0,3.0,1.0
mhsc_33422,,,,1.0,1.0,,1,,,,1.0,1.0,,1,2.0,3.0,2.0
mhsc_20504,,,,1.0,1.0,,1,,,,1.0,1.0,,1,2.0,1.0,2.0
mhsc_17018,1.0,,,1.0,1.0,1.0,1,1.0,,,1.0,1.0,1.0,1,3.0,3.0,3.0
mhsc_16255,,1.0,,,1.0,1.0,1,,1.0,,,1.0,1.0,1,1.0,1.0,2.0
mhsc_126,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,3.0,1.0,2.0
mhsc_12110,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_19623,,,,-1.0,3.0,3.0,3,,,,2.0,2.0,3.0,2,3.0,3.0,3.0
mhsc_31314,3.0,,,3.0,3.0,3.0,3,3.0,,,3.0,3.0,3.0,3,1.0,1.0,2.0
mhsc_21360,,,,3.0,3.0,3.0,3,,,,3.0,3.0,3.0,3,3.0,3.0,3.0
mhsc_38358,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_38363,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_18704,,,,,3.0,3.0,3,,,,,3.0,3.0,3,3.0,3.0,3.0
mhsc_13402,,,,,-1.0,-1.0,-1,,,,,2.0,2.0,2,2.0,3.0,2.0
mhsc_12665,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,3.0,3.0,3.0
mhsc_38957,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,3.0,3.0
mhsc_3891,,1.0,,1.0,1.0,,1,,1.0,,1.0,1.0,,1,1.0,1.0,1.0
mhsc_21897,,,1.0,1.0,-1.0,-1.0,1,,,1.0,1.0,2.0,2.0,1,2.0,3.0,2.0
mhsc_15954,,1.0,,,1.0,1.0,1,,1.0,,,1.0,1.0,1,3.0,3.0,3.0
mhsc_30740,1.0,,,2.0,-1.0,-1.0,-1,1.0,,,2.0,2.0,2.0,2,1.0,1.0,2.0
mhsc_28892,,3.0,,,1.0,-1.0,-1,,3.0,,,1.0,2.0,2,3.0,3.0,2.0
mhsc_35293,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,3.0,3.0
mhsc_5797,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,3.0
mhsc_37601,,,,1.0,1.0,,1,,,,1.0,1.0,,1,3.0,3.0,3.0
mhsc_2458,,,,3.0,3.0,-1.0,3,,,,3.0,2.0,2.0,2,3.0,3.0,3.0
mhsc_16430,,,,,3.0,3.0,3,,,,,3.0,3.0,3,1.0,3.0,3.0
mhsc_15189,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,2.0
mhsc_27784,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_34652,,,,3.0,3.0,3.0,3,,,,3.0,3.0,3.0,3,3.0,3.0,3.0
mhsc_1240,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,3.0,3.0,3.0
mhsc_30677,1.0,,,1.0,1.0,1.0,1,1.0,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_35393,1.0,,,1.0,1.0,1.0,1,1.0,,,1.0,1.0,1.0,1,3.0,3.0,2.0
mhsc_35316,,,3.0,,,3.0,3,,,3.0,,,3.0,3,1.0,1.0,1.0
mhsc_34578,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,1.0
